word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,freq
fawn,0,0,0,0,0,1,0,0,0,0,1
unscientific,0,0,0,0,0,0,0,0,0,0,1
cussed,1,0,0,0,0,0,0,0,0,0,1
middleman,0,0,0,0,0,0,0,0,0,0,1
foul,1,0,1,1,0,1,0,0,0,0,1
narcotic,0,0,0,0,0,1,0,0,0,0,1
prefix,0,0,0,0,0,0,0,0,0,0,1
aegis,0,0,0,0,0,0,0,0,0,0,1
hanging,1,0,1,1,0,1,0,1,0,0,1
conjuring,0,0,0,0,0,1,0,0,0,0,1
woody,0,0,0,0,0,0,0,0,0,0,1
centimeter,0,0,0,0,0,0,0,0,0,0,1
vascular,0,0,0,0,0,0,0,0,0,0,1
aggression,1,0,0,1,0,1,0,0,0,0,1
conjure,0,1,0,0,0,0,0,0,1,0,1
eligible,0,0,0,0,0,0,1,0,0,0,1
electricity,0,0,0,0,0,0,1,0,0,0,1
rupture,0,0,0,1,0,1,0,1,1,0,1
rouse,0,0,0,0,0,0,0,0,0,0,1
similarity,0,0,0,0,0,0,0,0,0,0,1
scold,1,0,1,1,0,1,0,1,0,0,1
quadruple,0,0,0,0,0,0,0,0,0,0,1
originality,0,0,0,0,0,0,1,0,1,0,1
tingle,0,0,0,0,0,0,0,0,0,0,1
hardness,0,0,0,0,0,1,0,0,0,0,1
lore,0,0,0,0,0,0,0,0,0,0,1
inwards,0,0,0,0,0,0,0,0,0,0,1
immature,0,1,0,0,0,1,0,0,0,0,1
mackerel,0,0,0,0,0,0,0,0,0,0,1
parallax,0,0,0,0,0,0,0,0,0,0,1
digit,0,0,0,0,0,0,0,0,0,1,1
propane,0,0,0,0,0,0,0,0,0,0,1
regional,0,0,0,0,0,0,0,0,0,0,1
dell,0,0,0,0,0,0,0,0,0,0,1
stipulate,0,0,0,0,0,0,0,0,0,0,1
eugenics,0,0,0,0,0,0,0,0,0,0,1
appropriation,0,0,0,0,0,1,0,0,0,0,1
tantalizing,0,1,0,0,1,1,1,0,1,0,1
leisurely,0,0,0,0,0,0,1,0,0,0,1
microbe,0,0,0,0,0,0,0,0,0,0,1
politician,0,0,0,0,0,0,0,0,0,0,1
screaming,1,0,1,1,0,1,0,0,0,0,1
internally,0,0,0,0,0,0,0,0,0,0,1
scholar,0,0,0,0,0,0,1,0,0,0,1
yachting,0,0,0,0,0,0,0,0,0,0,1
wooden,0,0,0,0,0,0,0,0,0,0,1
clientele,0,0,0,0,0,0,0,0,0,0,1
satchel,0,0,0,0,0,0,0,0,0,0,1
crotch,0,0,0,0,0,0,0,0,0,0,1
succession,0,0,0,0,0,0,0,0,0,0,1
straight,0,0,0,0,0,0,0,0,0,0,1
knell,0,0,0,1,0,1,0,1,0,0,1
ornamental,0,0,0,0,0,0,0,0,0,0,1
charter,0,0,0,0,0,0,0,0,0,0,1
specially,0,0,0,0,0,0,0,0,0,0,1
nigh,0,0,0,0,0,0,0,0,0,0,1
clover,0,0,0,0,0,0,0,0,0,0,1
corvette,0,0,0,0,0,0,0,0,0,0,1
cytomegalovirus,0,0,0,0,0,1,0,1,0,0,1
mirage,0,0,0,0,0,0,0,0,0,0,1
pulse,0,0,0,0,0,0,0,0,0,0,1
empirical,0,0,0,0,0,0,0,0,0,0,1
feasibility,0,0,0,0,0,0,0,0,0,0,1
elegant,0,0,0,0,1,0,1,0,0,0,1
rusty,0,0,0,0,0,1,0,0,0,0,1
valiant,0,0,0,0,0,0,1,0,0,0,1
consenting,0,0,0,0,0,0,0,0,0,0,1
tether,0,0,0,0,0,1,0,0,0,0,1
horseshoe,0,0,0,0,0,0,0,0,0,0,1
loathing,0,0,1,0,0,1,0,0,0,0,1
inanimate,0,0,0,0,0,0,0,0,0,0,1
blouse,0,0,0,0,0,0,0,0,0,0,1
solvent,0,0,0,0,0,0,0,0,0,0,1
relieving,0,0,0,0,0,0,1,0,0,0,1
ruthless,1,0,1,1,0,1,0,0,0,0,1
thunder,0,0,0,0,0,0,0,0,0,0,1
cooking,0,0,0,0,0,0,0,0,0,0,1
schism,1,0,0,0,0,1,0,0,0,0,1
decry,1,0,0,0,0,1,0,0,0,0,1
fossil,0,0,0,0,0,0,0,0,0,0,1
designing,0,0,0,0,0,0,0,0,0,0,1
resilient,0,0,0,0,0,0,1,0,0,0,1
numeral,0,0,0,0,0,0,0,0,0,0,1
admiral,0,0,0,0,0,0,1,0,0,1,1
inducement,0,0,0,0,0,0,0,0,0,0,1
cull,0,0,0,0,0,1,0,0,0,0,1
specialist,0,0,0,0,0,0,0,0,0,1,1
crouch,0,0,0,1,0,0,0,0,0,0,1
avert,0,0,0,0,0,0,0,0,0,0,1
reporter,0,0,0,0,0,0,1,0,0,1,1
herb,0,0,0,0,0,0,0,0,0,0,1
leaning,0,0,0,0,0,0,0,0,0,1,1
interdependent,0,0,0,0,0,0,0,0,0,0,1
herd,0,0,0,0,0,0,0,0,0,0,1
chine,0,0,0,0,0,0,0,0,0,0,1
reported,0,0,0,0,0,0,0,0,0,0,1
china,0,0,0,0,0,0,0,0,0,0,1
cult,0,0,0,1,0,1,0,0,0,0,1
affiliated,0,0,0,0,0,0,1,0,0,0,1
virtuoso,0,0,0,0,0,0,0,0,0,0,1
shriek,1,0,0,1,0,1,0,1,1,0,1
